Newcastle City Council Invoices over �250 paid in January 2014,,,,,,,,,,,,
,,,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BALMORAL COURT,6129145,Revenue,3WH93,Continuing Care,"1,144.95 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BALMORAL COURT,6129144,Revenue,1MG10,Ind Nursing Care Elderly,"20,007.10 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BALMORAL COURT,6129144,Revenue,1MG20,Ind Res Care Elderly,"5,586.96 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BALMORAL COURT,6129144,Revenue,3WH71,Free Nursing Care Self Funder,329.37 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BALMORAL COURT,6129144,Revenue,3WH77,Free Nursing Care Com Care,"5,285.61 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BALMORAL COURT,6129144,Revenue,3WH78,Fre Nursing Care Out of Area,988.11 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BALMORAL COURT,6129144,Revenue,3WH93,Continuing Care,"1,395.90 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BALMORAL COURT,6129145,Revenue,1MG10,Ind Nursing Care Elderly,"4,929.08 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BALMORAL COURT,6129145,Revenue,1MG20,Ind Res Care Elderly,884.92 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BALMORAL COURT,6129145,Revenue,3WH71,Free Nursing Care Self Funder,329.37 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BALMORAL COURT,6129145,Revenue,3WH77,Free Nursing Care Com Care,919.63 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BALMORAL COURT,6129145,Revenue,3WH78,Fre Nursing Care Out of Area,329.37 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BALMORAL COURT,6129145,Revenue,3WH93,Continuing Care,219.58 ,,,
Adult and Culture,Adult Serv-Arts & Cul      ,Supplies & Services,27/01/2014,BALTIC FLOUR MILLS VISUAL ARTS TRUST,6128657,Revenue,1DF03,Arts Contribution,750.00 ,,,
Adult and Culture,Adult Serv-Arts & Cul      ,Supplies & Services,22/01/2014,BALTIC FLOUR MILLS VISUAL ARTS TRUST,6124464,Revenue,1DF71,High Bridge Studios & Gallery,"18,417.15 ",,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,23/01/2014,BANKS OF THE WEAR LTD,6125101,Revenue,1MX50,SP Block Gross,"1,330.00 ",,,
Adult and Culture,Adult Serv-Arts & Cul      ,Supplies & Services,23/01/2014,BARE TOED CO,6124866,Revenue,1DF16,Arts Connect,675.00 ,,,
Adult and Culture,Social Services                        ,Employees,27/01/2014,BARE TOED CO,6110476,Revenue,1DF02,Planning & Resources Team Cost,843.75 ,,,
Children's Services,Educ Newbiggin S/Start     ,Supplies & Services,09/01/2014,BARE TOED CO,6110849,Revenue,1EEK6,Denton Westerhope Chldrn Cent,330.00 ,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,13/01/2014,BARNARDOS,6114169,Revenue,1MC22,IND Sector Foster Carer Costs,"3,466.52 ",,,
Environment & Regeneration,NS: Waste Management    ,Supplies & Services,20/01/2014,BARNARDOS,6117528,Revenue,1KE14,Waste Disposal General O/H,649.91 ,,,
Children's Services,Childrens Services Support       ,Third Party Payments,09/01/2014,BARNARDOS NORTH EAST,6111260,Revenue,1MD66,CWD Care Packages,336.00 ,,,
Children's Services,Childrens Services Support       ,Third Party Payments,09/01/2014,BARNARDOS NORTH EAST,6111345,Revenue,1MD71,Family and Parenting Support,"9,264.00 ",,,
Children's Services,Childrens Services Support       ,Third Party Payments,16/01/2014,BARNARDOS NORTH EAST,6118564,Revenue,1MD66,CWD Care Packages,336.00 ,,,
Children's Services,Invoice,Third Party Payments,17/01/2014,BARNARDOS NORTH EAST,6118833,Revenue,1MD66,CWD Care Packages,294.00 ,,,
Children's Services,Invoice,Third Party Payments,17/01/2014,BARNARDOS NORTH EAST,6118834,Revenue,1MD66,CWD Care Packages,924.00 ,,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,27/01/2014,BARNARDO'S NORTH EAST,6128170,Revenue,1MX10,Community Grants To Vol Orgs,"2,841.15 ",,,
Children's Services,Int Childhood Services     ,Supplies & Services,15/01/2014,BARNARDO'S NORTH EAST,6117618,Revenue,1EEE1,East CC Central Costs,"13,155.00 ",,,
Children's Services,Int Childhood Services     ,Supplies & Services,15/01/2014,BARNARDO'S NORTH EAST,6117618,Revenue,1EEK2,S Heaton Ouseburn Chldrn Cent,"3,710.00 ",,,
Children's Services,Int Childhood Services     ,Third Party Payments,15/01/2014,BARNARDO'S NORTH EAST,6117618,Revenue,1EEE1,East CC Central Costs,"139,097.00 ",,,
Children's Services,Int Childhood Services     ,Third Party Payments,15/01/2014,BARNARDO'S NORTH EAST,6117618,Revenue,1EEK2,S Heaton Ouseburn Chldrn Cent,"28,895.00 ",,,
Children's Services,Youth Offending Team       ,Supplies & Services,07/01/2014,BARNARDO'S NORTH EAST,6108883,Revenue,1EY10,Youth Management,"142,500.00 ",,,
Children's Services,Youth Offending Team       ,Supplies & Services,07/01/2014,BARNARDO'S NORTH EAST,6108884,Revenue,1EY10,Youth Management,"142,500.00 ",,,
Children's Services,Educ School Planning    ,Supplies & Services,16/01/2014,BARNARDOS NURSERY,6118863,Revenue,1EEP5,2Yr Old Learning & Childcare,"6,300.15 ",,,
HRA,HRA Planning QS            ,Capital Expenditure,06/01/2014,BARRATT AND DAVID WILSON HOMESNORTH EAST,6108144,Capital,2HE7G,Capital Cont 7-Elswick,"100,000.00 ",,,
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,17/01/2014,BARRIER SURVEILLANCE  SYSTEMS LTD,6118996,Revenue,1V204,Car Parking Infrastructure,343.75 ,,,
Adult and Culture,Social Services                        ,Third Party Payments,09/01/2014,BARTS HEALTH NHS TRUST,6111313,Revenue,1ML02,PH-Sexual Hlth-STI Test/Treat,625.00 ,,,
Environment & Regeneration,NS: Asset Man              ,Premises,07/01/2014,BAS,6108655,Revenue,1KL2B,Eldon Leisure,"1,408.00 ",,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,03/01/2014,BB TRADE KITCHENS & BEDROOMS LTD,6100878,Revenue,1KM1E,Voids 2.5 East,79.60 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,03/01/2014,BB TRADE KITCHENS & BEDROOMS LTD,6102379,Revenue,1KM1C,Voids 2.5 Central,18.05 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,07/01/2014,BB TRADE KITCHENS & BEDROOMS LTD,6100886,Revenue,1KM1C,Voids 2.5 Central,153.95 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,23/01/2014,BB TRADE KITCHENS & BEDROOMS LTD,6124916,Revenue,1KM1C,Voids 2.5 Central,63.60 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,23/01/2014,BB TRADE KITCHENS & BEDROOMS LTD,6124915,Revenue,1KM1W,Voids 2.5 West,330.65 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,23/01/2014,BB TRADE KITCHENS & BEDROOMS LTD,6124916,Revenue,1KM1C,Voids 2.5 Central,298.75 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,06/01/2014,BB TRADE KITCHENS & BEDROOMS LTD,6098349,Revenue,1KM1E,Voids 2.5 East,179.65 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,06/01/2014,BB TRADE KITCHENS & BEDROOMS LTD,6099675,Revenue,1KM1C,Voids 2.5 Central,2.85 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,06/01/2014,BB TRADE KITCHENS & BEDROOMS LTD,6098349,Revenue,1KM1E,Voids 2.5 East,224.45 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,06/01/2014,BB TRADE KITCHENS & BEDROOMS LTD,6099675,Revenue,1KM1C,Voids 2.5 Central,269.10 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,07/01/2014,BB TRADE KITCHENS & BEDROOMS LTD,6100886,Revenue,1KM1C,Voids 2.5 Central,302.96 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,03/01/2014,BB TRADE KITCHENS & BEDROOMS LTD,6100878,Revenue,1KM1E,Voids 2.5 East,217.95 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,03/01/2014,BB TRADE KITCHENS & BEDROOMS LTD,6102379,Revenue,1KM1C,Voids 2.5 Central,395.90 ,,,
Environment & Regeneration,Highways                               ,Premises,14/01/2014,BBS GRANITE CONCEPTS LTD,6115723,Revenue,1KEMC,Highways,"3,967.50 ",,,
Environment & Regeneration,Highways                               ,Premises,14/01/2014,BBS GRANITE CONCEPTS LTD,6115723,Revenue,1KEMC,Highways,"3,027.04 ",,,
Adult and Culture,Adult Serv Apprenticeship Plus   ,Supplies & Services,24/01/2014,BEACON PARTNERSHIP,6127067,Revenue,1EA65,Skills For Jobs Project,312.50 ,,,
Adult and Culture,Adult Serv Apprenticeship Plus   ,Supplies & Services,22/01/2014,BEACON PARTNERSHIP,6122522,Revenue,1EA65,Skills For Jobs Project,312.50 ,,,
Chief Executive's,CD - Safe Newcastle Unit         ,Premises,08/01/2014,BEACON PARTNERSHIP,6110399,Revenue,1VP24,Arch Crime Harassment,380.00 ,,,
Children's Services,Childrens Services Support       ,Premises,30/01/2014,BEACON PARTNERSHIP,6125260,Revenue,1MB15,Newcastle Safeguarding Board,295.00 ,,,
Children's Services,Childrens Services Support       ,Supplies & Services,30/01/2014,BEACON PARTNERSHIP,6125260,Revenue,1MB15,Newcastle Safeguarding Board,330.00 ,,,
Adult and Culture,Adult - Learning & Development   ,Employees,15/01/2014,BECOMING VISIBLE,6115664,Revenue,1MB20,Workforce Reform,350.00 ,,,
Children's Services,Educ SENTASS               ,Supplies & Services,09/01/2014,BECOMING VISIBLE,6110828,Revenue,1E+240,SB Hearing Impaired Service,"1,203.65 ",,,
Children's Services,Educ SENTASS               ,Supplies & Services,15/01/2014,BECOMING VISIBLE,6117648,Revenue,1E+240,SB Hearing Impaired Service,"2,510.38 ",,,
Children's Services,Educ SENTASS               ,Supplies & Services,15/01/2014,BECOMING VISIBLE,6117681,Revenue,1E+240,SB Hearing Impaired Service,"2,409.32 ",,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",14/01/2014,BEECHWOOD HOUSE CARE HOME,6115979,Revenue,1MG20,Ind Res Care Elderly,"-1,489.72 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,BEECHWOOD HOUSE CARE HOME,6115979,Revenue,1MG20,Ind Res Care Elderly,"1,530.04 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,BEECHWOOD HOUSE CARE HOME,6115979,Revenue,1MG20,Ind Res Care Elderly,"1,587.16 ",,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,10/01/2014,BELL CONTROL SOLUTIONS LTD,6107236,Revenue,1KVEM,Mechanical Stand Alone Works,"1,692.00 ",,,
HRA,HRA Finance                            ,Premises,27/01/2014,BELL DECORATING GROUP,6119528,Revenue,1HBAP,Planned Assets & Programming,"6,818.34 ",,,
HRA,HRA Finance                            ,Premises,27/01/2014,BELL DECORATING GROUP,6119529,Revenue,1HBAP,Planned Assets & Programming,"4,304.91 ",,,
HRA,HRA Finance                            ,Premises,27/01/2014,BELL DECORATING GROUP,6119530,Revenue,1HBAP,Planned Assets & Programming,"1,278.12 ",,,
HRA,HRA Finance                            ,Premises,27/01/2014,BELL DECORATING GROUP,6119531,Revenue,1HBAP,Planned Assets & Programming,"3,411.10 ",,,
HRA,HRA Finance                            ,Premises,27/01/2014,BELL DECORATING GROUP,6119532,Revenue,1HBAP,Planned Assets & Programming,"1,395.44 ",,,
HRA,HRA Finance                            ,Premises,27/01/2014,BELL DECORATING GROUP,6119533,Revenue,1HBAP,Planned Assets & Programming,"13,022.70 ",,,
HRA,HRA Finance                            ,Premises,27/01/2014,BELL DECORATING GROUP,6119534,Revenue,1HBAP,Planned Assets & Programming,"23,227.52 ",,,
HRA,HRA Finance                            ,Premises,27/01/2014,BELL DECORATING GROUP,6119535,Revenue,1HBAP,Planned Assets & Programming,"2,824.87 ",,,
HRA,HRA Finance                            ,Premises,27/01/2014,BELL DECORATING GROUP,6119536,Revenue,1HBAP,Planned Assets & Programming,"7,609.52 ",,,
HRA,HRA Finance                            ,Premises,27/01/2014,BELL DECORATING GROUP,6119537,Revenue,1HBAP,Planned Assets & Programming,"13,161.06 ",,,
HRA,HRA Finance                            ,Premises,27/01/2014,BELL DECORATING GROUP,6119538,Revenue,1HBAP,Planned Assets & Programming,"3,227.37 ",,,
HRA,HRA Finance                            ,Premises,27/01/2014,BELL DECORATING GROUP,6119527,Revenue,1HBAP,Planned Assets & Programming,"20,575.68 ",,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,07/01/2014,BELL TRUCK SALES LTD,6109091,Revenue,1KESH,Light Workshop Routine Repair,484.00 ,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,30/01/2014,BELL TRUCK SALES LTD,6116370,Revenue,1KESH,Light Workshop Routine Repair,367.66 ,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,17/01/2014,BELL TRUCK SALES LTD,6109873,Revenue,1KESA,Heavy Workshop Routine Repair,431.51 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,BELLE VUE HOUSE,6129154,Revenue,1MG10,Ind Nursing Care Elderly,"-2,930.11 ",,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,BELLE VUE HOUSE,6129154,Revenue,1MG20,Ind Res Care Elderly,-989.12 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,BELLE VUE HOUSE,6129155,Revenue,1MG10,Ind Nursing Care Elderly,-681.00 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,BELLE VUE HOUSE,6129155,Revenue,1MG20,Ind Res Care Elderly,-602.72 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BELLE VUE HOUSE,6129154,Revenue,1MG10,Ind Nursing Care Elderly,"14,120.08 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BELLE VUE HOUSE,6129154,Revenue,1MG20,Ind Res Care Elderly,"10,106.86 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BELLE VUE HOUSE,6129154,Revenue,3WH71,Free Nursing Care Self Funder,329.37 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BELLE VUE HOUSE,6129154,Revenue,3WH77,Free Nursing Care Com Care,"9,318.95 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BELLE VUE HOUSE,6129154,Revenue,3WH78,Fre Nursing Care Out of Area,"9,237.34 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BELLE VUE HOUSE,6129155,Revenue,1MG10,Ind Nursing Care Elderly,"3,443.44 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BELLE VUE HOUSE,6129155,Revenue,1MG20,Ind Res Care Elderly,"2,951.52 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BELLE VUE HOUSE,6129155,Revenue,3WH71,Free Nursing Care Self Funder,109.79 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BELLE VUE HOUSE,6129155,Revenue,3WH77,Free Nursing Care Com Care,"1,029.42 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BELLE VUE HOUSE,6129155,Revenue,3WH78,Fre Nursing Care Out of Area,548.95 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BELLE VUE HOUSE,6129289,Revenue,3WH71,Free Nursing Care Self Funder,658.74 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BELLE VUE HOUSE,6129289,Revenue,3WH78,Fre Nursing Care Out of Area,500.35 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BELLE VUE HOUSE,6129290,Revenue,3WH71,Free Nursing Care Self Funder,219.58 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BELLE VUE HOUSE,6129290,Revenue,3WH78,Fre Nursing Care Out of Area,151.10 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/01/2014,BELZONA POLYMERICS LIMITED,6109827,Revenue,1KVWC,Minor Works Contracts,"1,817.50 ",,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,07/01/2014,BELZONA POLYMERICS LIMITED,5890926,Revenue,1KVWC,Minor Works Contracts,"1,817.50 ",,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,07/01/2014,BELZONA POLYMERICS LIMITED,6021099,Revenue,1KVWC,Minor Works Contracts,"1,817.50 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,BENTLEY COURT CARE HOME,6116048,Revenue,1MG10,Ind Nursing Care Elderly,"1,886.60 ",,,
Environment & Regeneration,E&R - Technical Consultancy    ,Supplies & Services,29/01/2014,BENTLEY SYSTEMS UK LTD,6122801,Revenue,1KTC2,Technical Consultancy,"2,670.00 ",,,
Environment & Regeneration,NS: Admin & Finance        ,Supplies & Services,29/01/2014,BENTLEY SYSTEMS UK LTD,6124094,Revenue,1KTDX,Architecture Building Design,700.00 ,,,
Children's Services,Invoice,Supplies & Services,27/01/2014,BERENDSEN,6122256,Revenue,1KF08,Gosforth Civic Hall,365.92 ,,,
Environment & Regeneration,Blacksmiths                            ,Supplies & Services,15/01/2014,BERENDSEN,6117761,Revenue,1KENB,Fleet Workshops OH,653.16 ,,,
Environment & Regeneration,Blacksmiths                            ,Supplies & Services,15/01/2014,BERENDSEN,6117743,Revenue,1KENB,Fleet Workshops OH,701.96 ,,,
Environment & Regeneration,Blacksmiths                            ,Supplies & Services,15/01/2014,BERENDSEN,6117761,Revenue,1KENB,Fleet Workshops OH,48.80 ,,,
Environment & Regeneration,CW Civic Services Catering       ,Supplies & Services,21/01/2014,BERENDSEN,6122259,Revenue,1KF08,Gosforth Civic Hall,281.92 ,,,
Adult and Culture,Libraries/Galaxy Payments              ,Supplies & Services,22/01/2014,BERTRAM LIBRARY SERVICES,6123766,Revenue,1EJ13,Stock Services,398.30 ,,,
Adult and Culture,Libraries/Galaxy Payments              ,Supplies & Services,22/01/2014,BERTRAM LIBRARY SERVICES,6123766,Revenue,1EJ13,Stock Services,0.06 ,,,
Chief Executive's,CD - Legal Services              ,Supplies & Services,16/01/2014,BHP LAW,5854179,Revenue,1MD68,Legal Fees Care,384.55 ,,,
Chief Executive's,CD - Markets                     ,Supplies & Services,16/01/2014,BIC PLC,6118450,Revenue,1DR03,Grainger Market,"1,071.00 ",,,
Environment & Regeneration,E&R - Technical Consultancy    ,Third Party Payments,31/01/2014,BIKERIGHT LIMITED,6117781,Revenue,1KE88,Transport Road Safety,"4,720.00 ",,,
Environment & Regeneration,E&R - Technical Consultancy    ,Third Party Payments,31/01/2014,BIKERIGHT LIMITED,6117782,Revenue,1KE88,Transport Road Safety,"5,040.00 ",,,
Environment & Regeneration,E&R-Highway&Traffic Management   ,Third Party Payments,03/01/2014,BIKERIGHT LIMITED,6093872,Revenue,1KE88,Transport Road Safety,"3,920.00 ",,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",14/01/2014,BILTON HALL NURSING HOME,6116045,Revenue,1MG20,Ind Res Care Elderly,-550.12 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,BILTON HALL NURSING HOME,6116045,Revenue,1MG20,Ind Res Care Elderly,"1,600.00 ",,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",14/01/2014,BIRCHDALE CARE HOME,6115966,Revenue,1MG20,Ind Res Care Elderly,-486.00 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,BIRCHDALE CARE HOME,6115966,Revenue,1MG20,Ind Res Care Elderly,"1,720.00 ",,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",14/01/2014,BISHOPSGATE LODGE CARE HOME,6116034,Revenue,1MG10,Ind Nursing Care Elderly,-515.76 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,BISHOPSGATE LODGE CARE HOME,6116034,Revenue,1MG10,Ind Nursing Care Elderly,"1,882.44 ",,,
Environment & Regeneration,NS: Strategy               ,Supplies & Services,21/01/2014,BLACHERE WONDERLAND ILLUMINATIONS UK LTD,6111247,Revenue,1KS48,High Street Innovator Project,318.00 ,,,
Environment & Regeneration,NS: Waste Management       ,Supplies & Services,21/01/2014,BLACHERE WONDERLAND ILLUMINATIONS UK LTD,6122507,Revenue,1KE92,Christmas Lights,747.50 ,,,
Environment & Regeneration,NS: Street Lighting PFI    ,Third Party Payments,06/01/2014,BLACHERE WONDERLAND ILLUMINATIONS UK LTD,6108128,Revenue,1KE92,Christmas Lights,"15,479.00 ",,,
Children's Services,Educ School Planning    ,Third Party Payments,08/01/2014,BLACKBURN WITH DARWEN BOROUGH COUNCIL,6110074,Revenue,1MF01,16+ Team (YP),390.00 ,,,
Environment & Regeneration,Cityworks Parks & C/side   ,Premises,08/01/2014,BLAKELAW JUNIORS,6109949,Revenue,1KL6J,Blakelaw Park,400.00 ,,,
Environment & Regeneration,CW Security Services             ,Premises,06/01/2014,BLAKELAW WARD COMMUINTY PARTNERSHIP,6108061,Revenue,1KJ24,Street Wardens Support,330.00 ,,,
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,31/01/2014,BLAKEMORE FOODSERVICE,6113151,Revenue,1EA06,Curriculum West FE,261.50 ,,,
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,21/01/2014,BLANCCO UK,6122905,Revenue,1CX50,Technical Refresh,"1,990.00 ",,,
Environment & Regeneration,NS: Waste Management       ,Supplies & Services,09/01/2014,BLUE MACHINERY (SCOTLAND) LTD,6111437,Revenue,1KE23,Sandhills,"4,000.00 ",,,
Children's Services,Benfield Secon/High School             ,Supplies & Services,20/01/2014,BLUE SHARK DESIGNS LTD,6120037,Revenue,1E339,Benfield Sports Centre,975.00 ,,,
Chief Executive's,CD - Central Policy Unit         ,Supplies & Services,17/01/2014,BLUEGRASS,6120437,Revenue,1CC00,Customer Service Management,"1,822.50 ",,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,10/01/2014,BLYTH STAR ENTERPRISES LIMITED,6111834,Revenue,1MM51,Ind Home-Per Care MH,"2,128.42 ",,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,10/01/2014,BLYTH STAR ENTERPRISES LIMITED,6111835,Revenue,1MM51,Ind Home-Per Care MH,"1,263.62 ",,,
Environment & Regeneration,E&R ERS&PP                 ,Third Party Payments,31/01/2014,BNP PARIBAS,6133898,Revenue,1D525,Liquor Licensing,"3,750.00 ",,,
Chief Executive's,CD - Legal Services              ,Supplies & Services,28/01/2014,BOND DICKINSON LLP,6130042,Revenue,1KE22,Residual Waste Treatment Proj,"2,160.00 ",,,
Chief Executive's,CD - Legal Services              ,Supplies & Services,28/01/2014,BOND DICKINSON LLP,6130043,Revenue,1KE22,Residual Waste Treatment Proj,"3,708.00 ",,,
Chief Executive's,CD - Economic Development        ,Supplies & Services,24/01/2014,BOND DICKINSON LLP,6126881,Revenue,1RB16,Transformation Costs,540.00 ,,,
Children's Services,Comm Hub                   ,Supplies & Services,13/01/2014,BOND DICKINSON LLP,6114394,Revenue,1E31B,PFI Full Services,"2,803.40 ",,,
Children's Services,Comm Hub                   ,Supplies & Services,13/01/2014,BOND DICKINSON LLP,6114395,Revenue,1E31B,PFI Full Services,463.40 ,,,
Children's Services,Invoice,Supplies & Services,27/01/2014,BORDER HEATING SPARES,6028355,Revenue,1KR5E,Gas Serv East,294.70 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,BOWLAND LODGE,6129178,Revenue,1MG20,Ind Res Care Elderly,"-7,113.86 ",,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,BOWLAND LODGE,6129178,Revenue,1MH20,Ind Res Care PD,-727.88 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,BOWLAND LODGE,6129178,Revenue,1MM20,Ind Res Care MH,"-1,912.11 ",,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,BOWLAND LODGE,6129179,Revenue,1MG20,Ind Res Care Elderly,"-2,116.15 ",,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,BOWLAND LODGE,6129179,Revenue,1MH20,Ind Res Care PD,-121.50 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,BOWLAND LODGE,6129179,Revenue,1MM20,Ind Res Care MH,-637.37 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BOWLAND LODGE,6129178,Revenue,1MG20,Ind Res Care Elderly,"28,784.46 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BOWLAND LODGE,6129178,Revenue,1MH20,Ind Res Care PD,"6,581.10 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BOWLAND LODGE,6129178,Revenue,1MM20,Ind Res Care MH,"7,365.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BOWLAND LODGE,6129178,Revenue,3WH93,Continuing Care,"1,242.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BOWLAND LODGE,6129179,Revenue,1MG20,Ind Res Care Elderly,"8,763.12 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BOWLAND LODGE,6129179,Revenue,1MH20,Ind Res Care PD,"1,271.28 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BOWLAND LODGE,6129179,Revenue,1MM20,Ind Res Care MH,"2,455.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,BOWLAND LODGE,6129179,Revenue,3WH93,Continuing Care,414.00 ,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,21/01/2014,BRAMPTON COURT,6122572,Revenue,1MK50,Ind Supported Living LD,"2,856.00 ",,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",14/01/2014,BRAMPTON COURT,6115943,Revenue,1MG10,Ind Nursing Care Elderly,"-3,011.32 ",,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",14/01/2014,BRAMPTON COURT,6115943,Revenue,1MG20,Ind Res Care Elderly,-658.44 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,BRAMPTON COURT,6115943,Revenue,1MG10,Ind Nursing Care Elderly,"30,582.52 ",,,
