Newcastle City Council Invoices over �250 paid in September 2014,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Environment & Regeneration,NS: Asset Man              ,Premises,09/09/2014,G4S SECURE SOLUTIONS (UK) LTD,6354053,Revenue,1DF10,Theatre Royal Contribution,632.00,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,10/09/2014,GADS INSULATION SERVICES LTD,6357263,Revenue,1KVEE,Electrical Stand Alone Works,322.66,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,10/09/2014,GADS INSULATION SERVICES LTD,6357264,Revenue,1KVEM,Mechanical Stand Alone Works,"1,750.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,25/09/2014,GADS INSULATION SERVICES LTD,6370154,Revenue,1KVEM,Mechanical Stand Alone Works,"2,609.36",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/09/2014,GADS INSULATION SERVICES LTD,6370166,Revenue,1KVEE,Electrical Stand Alone Works,900.29,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,15/09/2014,GAILEY LODGE M BAKER,6360367,Revenue,1MH50,Ind Home Spot Pur PD,594.00,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",03/09/2014,GAILEY LODGE M BAKER,6350105,Revenue,1MH20,Ind Res Care PD,-98.90,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",03/09/2014,GAILEY LODGE M BAKER,6350105,Revenue,1MK20,Ind Res Care LD,-165.50,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,GAILEY LODGE M BAKER,6367552,Revenue,1MH20,Ind Res Care PD,-395.60,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,GAILEY LODGE M BAKER,6367552,Revenue,1MK20,Ind Res Care LD,-662.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/09/2014,GAILEY LODGE M BAKER,6347423,Revenue,1MK55,Dom Care Family/Carer LD,420.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2014,GAILEY LODGE M BAKER,6350105,Revenue,1MH20,Ind Res Care PD,"1,890.34",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2014,GAILEY LODGE M BAKER,6350105,Revenue,1MK20,Ind Res Care LD,933.56,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,GAILEY LODGE M BAKER,6367552,Revenue,1MH20,Ind Res Care PD,"7,561.36",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,GAILEY LODGE M BAKER,6367552,Revenue,1MK20,Ind Res Care LD,"3,734.24",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2014,GAILEY LODGE M BAKER,6373381,Revenue,1MK55,Dom Care Family/Carer LD,378.00,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,10/09/2014,GAP,6357065,Revenue,3KIMD,Other Stores Stock Account,660.00,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,24/09/2014,GAP,6364909,Revenue,3KIMD,Other Stores Stock Account,660.00,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,GARDEN LODGE,6355023,Revenue,1MG20,Ind Res Care Elderly,"-11,300.63",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,GARDEN LODGE,6355023,Revenue,1MG20,Ind Res Care Elderly,"43,422.30",
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,12/09/2014,GARDINER SECURITY LTD,6352069,Revenue,1KVEE,Electrical Stand Alone Works,251.70,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,19/09/2014,GARDINER SECURITY LTD,6360508,Revenue,1KBAA,Building Contracts,481.80,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,25/09/2014,GARDINER SECURITY LTD,6361946,Revenue,1KBAA,Building Contracts,"2,305.96",
Environment & Regeneration,E&R - Technical Consultancy    ,Capital Expenditure,30/09/2014,GATESHEAD CENTRAL TAXIS,6373536,Capital,2DP02,Devt Capital CC,"1,558.00",
Environment & Regeneration,E&R - Technical Consultancy    ,Capital Expenditure,30/09/2014,GATESHEAD CENTRAL TAXIS,6373537,Capital,2DP02,Devt Capital CC,720.00,
Adult and Culture,Social Services                        ,Supplies & Services,02/09/2014,GATESHEAD MBC,6348302,Revenue,1E26A,Ncl School Sports Association,515.83,
Children's Services,Raising Stnds              ,Supplies & Services,24/09/2014,GATESHEAD MBC,6369251,Revenue,1E+207,Supporting Schools to Succeed,"5,760.00",
Children's Services,Westgate Hill Primary School           ,Supplies & Services,29/09/2014,GATESHEAD MBC,6370788,Revenue,1E+65,Westgate Hill Primary,"7,750.00",
Environment & Regeneration,Highways                               ,Supplies & Services,16/09/2014,GATESHEAD MBC,6361862,Revenue,1KELL,Traffic Sig Gateshead Recharge,"1,084.74",
Environment & Regeneration,E&R Planning Policy        ,Third Party Payments,11/09/2014,GATESHEAD MBC,6358487,Revenue,1V660,Planning Policy,"1,368.00",
Children's Services,Schools Payment Agency                 ,Premises,10/09/2014,GB FENCING,6357695,Revenue,1E+85,St. John Vianney R.C. Primary,"3,800.00",
Environment & Regeneration,NS: City Transport         ,Transport,29/09/2014,GB OILS,6353454,Revenue,1KEND,Fleet Fuel Account,"2,603.15",
Chief Executive's,CD - Treasury Mgmt Payments NOR        ,Capital Expenditure,03/09/2014,GDFC SERVICES LIMITED,6349512,Capital,2FT14,Property Services,749.00,
Children's Services,Walkergate Primary School              ,Supplies & Services,24/09/2014,GEM ARTS,6368893,Revenue,1E+61,Walkergate Primary School,"1,206.00",
Environment & Regeneration,Highways                               ,Premises,16/09/2014,GEOSYNTHETICS LTD,6344492,Revenue,1KEMC,Highways,"4,515.30",
Adult and Culture,Adult Serv Finance         ,Transfer Payments,15/09/2014,GET CARTER TAXIS,6360494,Revenue,1E+212,Transport Special,"5,640.11",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,GIBRALTER CARE VILLAGE,6367653,Revenue,1MG20,Ind Res Care Elderly,-495.80,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,GIBRALTER CARE VILLAGE,6367653,Revenue,1MG20,Ind Res Care Elderly,"2,647.04",
Environment & Regeneration,Cityworks City Hall        ,Supplies & Services,16/09/2014,GIGGLE BEATS,6349937,Revenue,1KL3A,City Hall,400.00,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,09/09/2014,GILLS OF BYKER,6355461,Revenue,1KR1C,Response Central,176.60,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,09/09/2014,GILLS OF BYKER,6355461,Revenue,1KR1E,Response East,24.60,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,09/09/2014,GILLS OF BYKER,6355461,Revenue,1KR1W,Response West,353.20,
Children's Services,Benfield Secon/High School             ,Supplies & Services,11/09/2014,GLASDON UK LTD,6352218,Revenue,1E371,Benfield Sports Partner Contrb,"1,670.16",
Chief Executive's,Exchequer Accounts Payable             ,Supplies & Services,30/09/2014,GMB UNION,6373077,Revenue,3RNE2,StCuthberts Acad Payroll Deds,34.68,
Chief Executive's,Exchequer Accounts Payable             ,Supplies & Services,30/09/2014,GMB UNION,6373077,Revenue,3RNF2,Kenton Acad Payroll Deds,10.51,
Chief Executive's,Exchequer Accounts Payable             ,Supplies & Services,30/09/2014,GMB UNION,6373077,Revenue,3RNG2,St Marys Acad Payroll Deds,11.56,
Environment & Regeneration,E&R Parking Services       ,Transport,08/09/2014,GO NORTH EAST,6316463,Revenue,1V301,Travel office Travel Passes,778.00,
Environment & Regeneration,E&R Parking Services       ,Transport,08/09/2014,GO NORTH EAST,6338608,Revenue,1V301,Travel office Travel Passes,778.00,
Environment & Regeneration,E&R Parking Services       ,Transport,09/09/2014,GO NORTH EAST,6354627,Revenue,1V301,Travel office Travel Passes,580.00,
Environment & Regeneration,E&R Parking Services       ,Transport,09/09/2014,GO NORTH EAST,6354647,Revenue,1V301,Travel office Travel Passes,778.00,
Environment & Regeneration,E&R Parking Services       ,Transport,09/09/2014,GO NORTH EAST,6354649,Revenue,1V301,Travel office Travel Passes,778.00,
Environment & Regeneration,E&R Parking Services       ,Transport,12/09/2014,GO NORTH EAST,6354068,Revenue,1V301,Travel office Travel Passes,608.00,
Environment & Regeneration,E&R Parking Services       ,Transport,12/09/2014,GO NORTH EAST,6354069,Revenue,1V301,Travel office Travel Passes,608.00,
Environment & Regeneration,E&R Trans P&D              ,Premises,05/09/2014,GO NORTH EAST,6352144,Revenue,1V080,Private Developers s106,"4,146.35",
HRA,HRA C.C.A.S.               ,Premises,11/09/2014,GOLDSHIELD SECURITY,6358615,Revenue,1HK01,HRA Comm Care Alarms-Citywide,"1,315.00",
HRA,HRA C.C.A.S.               ,Supplies & Services,05/09/2014,GOLDSHIELD SECURITY,6352614,Revenue,1HJ01,HRA Sheltered HSG-Citywide,"3,384.00",
Chief Executive's,CD - Support Services            ,Supplies & Services,16/09/2014,GOLDSTAR COURIERS,6361388,Revenue,1FA53,Reg of Births Deaths & Margs,180.60,
Chief Executive's,CD - Support Services            ,Supplies & Services,16/09/2014,GOLDSTAR COURIERS,6361388,Revenue,1FJX1,Legal - Expenditure Overheads,43.00,
Chief Executive's,CD - Support Services            ,Supplies & Services,16/09/2014,GOLDSTAR COURIERS,6361388,Revenue,1KELA,Traffic Sig General O/H,8.60,
Chief Executive's,CD - Support Services            ,Supplies & Services,16/09/2014,GOLDSTAR COURIERS,6361388,Revenue,1FG03,Central Post Room,8.60,
Chief Executive's,CD - Support Services            ,Supplies & Services,16/09/2014,GOLDSTAR COURIERS,6361388,Revenue,1V001,HP&T Executive,17.20,
Chief Executive's,CD - Support Services            ,Supplies & Services,16/09/2014,GOLDSTAR COURIERS,6361388,Revenue,1D550,Executive and Events,8.60,
Chief Executive's,CD - Support Services            ,Supplies & Services,16/09/2014,GOLDSTAR COURIERS,6361388,Revenue,1FP80,Operational HR,8.60,
Children's Services,Educ School Planning    ,Supplies & Services,02/09/2014,GOSFORTH GARDEN VILLAGE PLAYGROUP,6348518,Revenue,1EEP5,2Yr Old Learning & Childcare,"2,182.51",
Children's Services,Heaton Manor High School               ,Employees,23/09/2014,GOVERNMENT KNOWLEDGE TRAINING LTD,6367924,Revenue,1E+135,Heaton Manor Comprehensive,370.00,
Children's Services,Invoice,Supplies & Services,18/09/2014,GRAFTON MERCHANTING GB LTD,6333557,Revenue,1KVWC,Minor Works Contracts,260.00,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,04/09/2014,GRAFTON MERCHANTING GB LTD,6340558,Revenue,3KIMD,Other Stores Stock Account,"1,046.03",
Environment & Regeneration,Allendale Building                     ,Supplies & Services,05/09/2014,GRAFTON MERCHANTING GB LTD,6333148,Revenue,1KVWC,Minor Works Contracts,254.74,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,05/09/2014,GRAFTON MERCHANTING GB LTD,6333271,Revenue,1KVWC,Minor Works Contracts,349.98,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,05/09/2014,GRAFTON MERCHANTING GB LTD,6336993,Revenue,1KVWC,Minor Works Contracts,264.98,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/09/2014,GRAFTON MERCHANTING GB LTD,6335334,Revenue,1KVWC,Minor Works Contracts,390.00,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/09/2014,GRAFTON MERCHANTING GB LTD,6337453,Revenue,3KIMD,Other Stores Stock Account,932.70,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,02/09/2014,GRAFTON MERCHANTING GB LTD,6337466,Revenue,3KIMD,Other Stores Stock Account,915.00,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,05/09/2014,GRAFTON MERCHANTING GB LTD,6333180,Revenue,1KVWC,Minor Works Contracts,"2,678.00",
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,05/09/2014,GRAFTON MERCHANTING GB LTD,6340554,Revenue,3KIMD,Other Stores Stock Account,"1,375.70",
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,15/09/2014,GRAFTON MERCHANTING GB LTD,6344510,Revenue,3KIMD,Other Stores Stock Account,"1,375.70",
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,18/09/2014,GRAFTON MERCHANTING GB LTD,6359794,Revenue,3KIMD,Other Stores Stock Account,518.50,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,24/09/2014,GRAFTON MERCHANTING GB LTD,6346372,Revenue,3KIMD,Other Stores Stock Account,"1,102.65",
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,29/09/2014,GRAFTON MERCHANTING GB LTD,6354475,Revenue,3KIMD,Other Stores Stock Account,299.80,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,29/09/2014,GRAFTON MERCHANTING GB LTD,6354476,Revenue,3KIMD,Other Stores Stock Account,483.00,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,29/09/2014,GRAFTON MERCHANTING GB LTD,6369789,Revenue,3KIMD,Other Stores Stock Account,698.16,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,30/09/2014,GRAFTON MERCHANTING GB LTD,6354473,Revenue,3KIMD,Other Stores Stock Account,720.80,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,16/09/2014,GRANGE DAY CENTRE,6361842,Revenue,1MG61,Grange Day Centre,"19,827.99",
Chief Executive's,CD - SPAM Trading Account        ,Capital Expenditure,22/09/2014,GRANT THORNTON CONTRACT LLP,6345440,Capital,2DP02,Devt Capital CC,"27,727.50",
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,03/09/2014,GRANT WESTFIELD LTD,6337041,Revenue,3KIMD,Other Stores Stock Account,748.00,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,19/09/2014,GRANT WESTFIELD LTD,6351506,Revenue,3KIMD,Other Stores Stock Account,258.00,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,19/09/2014,GRANT WESTFIELD LTD,6352216,Revenue,3KIMD,Other Stores Stock Account,748.00,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,26/09/2014,GRANT WESTFIELD LTD,6354033,Revenue,3KIMD,Other Stores Stock Account,884.00,
Children's Services,West Riverside S/Start           ,Supplies & Services,02/09/2014,GREAVES TRADING LTD,6339646,Revenue,1EEG1,W River CC Central Costs,299.98,
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,19/09/2014,GREENING WINGROVE COMMUNITY INTEREST CO,6364936,Revenue,1KN24,Wingrove Ward,725.88,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,03/09/2014,GREENLAY(GRASS MACHINERY) LTD,6342378,Revenue,3KES1,Fleetmaster Stores Account,266.51,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,08/09/2014,GREENLAY(GRASS MACHINERY) LTD,6347294,Revenue,3KES1,Fleetmaster Stores Account,335.71,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,GREENWAYS COURT CARE HOME,6367646,Revenue,1MG20,Ind Res Care Elderly,-490.44,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,GREENWAYS COURT CARE HOME,6367646,Revenue,1MG20,Ind Res Care Elderly,"1,857.24",
Children's Services,Cragside Primary School                ,Supplies & Services,17/09/2014,GROSVENOR HOUSE PAPERS LTD,6363483,Revenue,1E+42,Cragside Primary,348.69,
Children's Services,Gosforth Central Middle School         ,Supplies & Services,24/09/2014,GROSVENOR HOUSE PAPERS LTD,6369359,Revenue,1E+105,Gosforth Central Middle,345.45,
Environment & Regeneration,Regen Enviro Team       ,Specific Government Grants,26/09/2014,GROUNDWORK NORTH EAST,6368766,Revenue,1D543,Environment,"12,250.00",
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,10/09/2014,GROUNDWORK SOUTH TYNESIDE,6356845,Revenue,1KN62,South Heaton Ward,"1,652.50",
Chief Executive's,CD - SPAM Trading Account        ,Capital Expenditure,01/09/2014,GS TRANSPORT,6346203,Capital,2FT14,Property Services,"3,042.36",
Chief Executive's,CD - SPAM Trading Account        ,Capital Expenditure,08/09/2014,GS TRANSPORT,6353624,Capital,2FT14,Property Services,"2,222.00",
Environment & Regeneration,Cityworks Parks & C/side   ,Premises,05/09/2014,GS TRANSPORT,6352624,Revenue,1KL61,Parks R&M,415.60,
Environment & Regeneration,Cityworks Parks & C/side   ,Premises,22/09/2014,GS TRANSPORT,6365809,Revenue,1KL61,Parks R&M,537.00,
Environment & Regeneration,NS: Asset Man              ,Premises,05/09/2014,GS TRANSPORT,6351935,Revenue,1MG23,Harehills,"4,500.37",
Chief Executive's,Exchequer Payroll                      ,Employees,17/09/2014,GUARDIAN NEWS & MEDIA LTD,6363304,Revenue,1D550,Executive and Events,"1,550.00",
Environment & Regeneration,Fleet Management System                ,Supplies & Services,12/09/2014,GULLIVERS TRUCK HIRE LTD,6359762,Revenue,1FR03,Procurement & Efficiency,302.59,
Children's Services,Schools Payment Agency                 ,Supplies & Services,25/09/2014,GUROO LTD,6370322,Revenue,1E313,Y.T. Oakfield,"1,527.60",
Environment & Regeneration,Highways                               ,Supplies & Services,23/09/2014,GUSTHARTS,6367303,Revenue,1KEHA,Arbor Team,"1,965.40",
Environment & Regeneration,Cityworks Jes Dene         ,Supplies & Services,19/09/2014,GUSTHARTS,6255283,Revenue,1KEHA,Arbor Team,814.13,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,HADRIAN HEALTHCARE GROUP,6367602,Revenue,1MG10,Ind Nursing Care Elderly,-485.16,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,HADRIAN HEALTHCARE GROUP,6367602,Revenue,1MG20,Ind Res Care Elderly,-991.60,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,HADRIAN HEALTHCARE GROUP,6367602,Revenue,1MG10,Ind Nursing Care Elderly,"4,187.56",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,HADRIAN HEALTHCARE GROUP,6367602,Revenue,1MG20,Ind Res Care Elderly,"3,832.00",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,HADRIAN HOUSE WALLSEND,6355069,Revenue,1MG10,Ind Nursing Care Elderly,"-1,599.72",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,HADRIAN HOUSE WALLSEND,6355069,Revenue,1MG20,Ind Res Care Elderly,"-1,269.60",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,HADRIAN HOUSE WALLSEND,6355069,Revenue,1MG10,Ind Nursing Care Elderly,"6,046.84",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,HADRIAN HOUSE WALLSEND,6355069,Revenue,1MG20,Ind Res Care Elderly,"3,869.12",
Environment & Regeneration,Fleet Management System                ,Supplies & Services,15/09/2014,HAKO MACHINES LTD,6347167,Revenue,1KESJ,Hort Workshops Routine Repair,348.52,
HRA,HRA Planning QS            ,Supplies & Services,08/09/2014,HALL & PARTNERS,6353894,Revenue,1HRA3,Misc Feasibility Study/Survey,568.00,
HRA,HRA Planning QS            ,Supplies & Services,08/09/2014,HALL & PARTNERS,6353895,Revenue,1HRA3,Misc Feasibility Study/Survey,480.00,
Environment & Regeneration,NS: City Transport         ,Transport,10/09/2014,HALL FUELS,6357472,Revenue,1KEND,Fleet Fuel Account,"15,307.89",
Environment & Regeneration,NS: City Transport         ,Transport,10/09/2014,HALL FUELS,6357489,Revenue,1KEND,Fleet Fuel Account,"13,256.25",
Environment & Regeneration,NS: City Transport         ,Transport,10/09/2014,HALL FUELS,6357566,Revenue,1KEND,Fleet Fuel Account,"18,601.81",
Environment & Regeneration,NS: City Transport         ,Transport,11/09/2014,HALL FUELS,6357461,Revenue,1KEND,Fleet Fuel Account,"14,242.86",
Environment & Regeneration,NS: City Transport         ,Transport,12/09/2014,HALL FUELS,6350278,Revenue,1KEND,Fleet Fuel Account,"19,063.06",
Environment & Regeneration,NS: City Transport         ,Transport,23/09/2014,HALL FUELS,6351489,Revenue,1KEND,Fleet Fuel Account,"18,495.06",
Environment & Regeneration,NS: City Transport         ,Transport,23/09/2014,HALL FUELS,6351493,Revenue,1KEND,Fleet Fuel Account,"12,710.89",
Environment & Regeneration,NS: City Transport         ,Transport,23/09/2014,HALL FUELS,6352146,Revenue,1KEND,Fleet Fuel Account,"16,911.97",
Environment & Regeneration,NS: City Transport         ,Transport,24/09/2014,HALL FUELS,6350413,Revenue,1KEND,Fleet Fuel Account,"2,665.93",
Environment & Regeneration,NS: City Transport         ,Transport,26/09/2014,HALL FUELS,6354016,Revenue,1KEND,Fleet Fuel Account,"2,418.60",
Environment & Regeneration,NS: City Transport         ,Transport,26/09/2014,HALL FUELS,6354436,Revenue,1KEND,Fleet Fuel Account,"1,450.20",
Environment & Regeneration,CW Civic Services Catering       ,Supplies & Services,02/09/2014,HALLGARTEN DRUITT WINES,6348524,Revenue,1KF07,Banqueting Suite,911.21,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,HAMPTON COURT CARE HOME,6367649,Revenue,1MG20,Ind Res Care Elderly,-495.80,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,HAMPTON COURT CARE HOME,6367649,Revenue,1MG20,Ind Res Care Elderly,"1,736.00",
Children's Services,Invoice,Capital Expenditure,19/09/2014,HANDICARE,6364921,Capital,2N101,Capital Grants,"1,520.00",
Children's Services,Invoice,Capital Expenditure,19/09/2014,HANDICARE,6364922,Capital,2N101,Capital Grants,"1,380.00",
Children's Services,Invoice,Capital Expenditure,30/09/2014,HANDICARE,6365779,Capital,2N101,Capital Grants,"3,230.00",
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,02/09/2014,HANDICARE,6347099,Capital,2N101,Capital Grants,"2,100.24",
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,02/09/2014,HANDICARE,6347339,Capital,2N101,Capital Grants,"1,575.00",
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,04/09/2014,HANDICARE,6351488,Capital,2N101,Capital Grants,"3,230.00",
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,04/09/2014,HANDICARE,6351490,Capital,2N101,Capital Grants,"1,560.00",
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,05/09/2014,HANDICARE,6352183,Capital,2N101,Capital Grants,"1,670.00",
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,08/09/2014,HANDICARE,6347340,Capital,2N101,Capital Grants,"1,489.83",
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,16/09/2014,HANDICARE,6348327,Capital,2N101,Capital Grants,"1,370.00",
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,16/09/2014,HANDICARE,6351479,Capital,2N101,Capital Grants,"3,360.00",
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,17/09/2014,HANDICARE,6358563,Capital,2N101,Capital Grants,"1,420.00",
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,19/09/2014,HANDICARE,6365085,Capital,2N101,Capital Grants,"1,820.00",
Adult and Culture,Adult Serv Drug Action Team  ,Capital Expenditure,01/09/2014,HARDSCAPE,6339849,Capital,2DP02,Devt Capital CC,"2,000.00",
Environment & Regeneration,E&R - Technical Consultancy    ,Capital Expenditure,25/09/2014,HARDSCAPE,6343728,Capital,2DP02,Devt Capital CC,"2,178.62",
Children's Services,Schools Payment Agency                 ,Supplies & Services,11/09/2014,HARPER COLLINS PUBLISHERS LTD,6358420,Revenue,1E+29,West Denton Primary,412.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,11/09/2014,HARPER COLLINS PUBLISHERS LTD,6358539,Revenue,1E+29,West Denton Primary,"1,176.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/09/2014,HART DOOR SYSTEMS LTD,6370152,Revenue,1KVWC,Minor Works Contracts,"1,609.00",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,HARTFORD COURT,6367617,Revenue,1MG20,Ind Res Care Elderly,"-1,137.44",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,HARTFORD COURT,6367617,Revenue,1MG20,Ind Res Care Elderly,"3,770.64",
Adult and Culture,Social Services                        ,Third Party Payments,25/09/2014,HARTLEPOOL BOROUGH COUNCIL,6369769,Revenue,1MC22,IND Sector Foster Carer Costs,508.25,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,HARTON GRANGE,6367613,Revenue,1MG20,Ind Res Care Elderly,-843.36,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,HARTON GRANGE,6367613,Revenue,1MG20,Ind Res Care Elderly,"1,906.00",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,HARWOOD COURT,6367560,Revenue,1MG20,Ind Res Care Elderly,-650.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,HARWOOD COURT,6367560,Revenue,1MG20,Ind Res Care Elderly,"1,842.60",
Environment & Regeneration,Allendale Building                     ,Supplies & Services,04/09/2014,HASTIE BURTON JOINERY LTD,6318706,Revenue,1KVWC,Minor Works Contracts,329.84,
Chief Executive's,CD - Markets                     ,Supplies & Services,10/09/2014,HATTON TRAFFIC MANAGEMENT LTD,6353983,Revenue,1DZQ1,Quayside Market,"1,050.00",
Chief Executive's,CD - Communities                 ,Supplies & Services,08/09/2014,HATTON TRAFFIC MANAGEMENT LTD,6352190,Revenue,1KL24,Newcastle Mela,667.00,
Children's Services,Educ Fossway S/Start       ,Supplies & Services,10/09/2014,HAT-TRICK,6344629,Revenue,1EEE1,East CC Central Costs,270.00,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,16/09/2014,HAVELLS SYLVANIA UK LTD,6324688,Revenue,1KVEE,Electrical Stand Alone Works,"1,821.74",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,16/09/2014,HAVELLS SYLVANIA UK LTD,6329316,Revenue,1KVEE,Electrical Stand Alone Works,439.80,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,16/09/2014,HAVELLS SYLVANIA UK LTD,6337141,Revenue,1KVEE,Electrical Stand Alone Works,462.44,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,16/09/2014,HAVELLS SYLVANIA UK LTD,6337143,Revenue,1KVEE,Electrical Stand Alone Works,353.10,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,16/09/2014,HAVELLS SYLVANIA UK LTD,6340266,Revenue,1KVEE,Electrical Stand Alone Works,"2,072.48",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,16/09/2014,HAVELLS SYLVANIA UK LTD,6340524,Revenue,1KVEE,Electrical Stand Alone Works,"4,779.25",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,16/09/2014,HAVELLS SYLVANIA UK LTD,6340819,Revenue,1KVEE,Electrical Stand Alone Works,"2,314.63",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,16/09/2014,HAVELLS SYLVANIA UK LTD,6342419,Revenue,1KVEE,Electrical Stand Alone Works,"1,200.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,16/09/2014,HAVELLS SYLVANIA UK LTD,6343844,Revenue,1KVEE,Electrical Stand Alone Works,589.70,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,16/09/2014,HAVELLS SYLVANIA UK LTD,6344752,Revenue,1KVEE,Electrical Stand Alone Works,"1,125.92",
